Año,Tipo de Institución,Institución,Unidad Académica,Carrera,Título,Gestión,Nivel de la Oferta,Total de Estudiantes,Estudiantes Varones,Estudiantes Mujeres,Total de Nuevos Inscriptos,Nuevos Inscriptos Varones,Nuevas Inscriptas Mujeres,Total de Reinscriptos,Reinscriptos Varones,Reinscriptos Mujeres,Total de Egresados,Egresados Varones,Egresados Mujeres,
2010,Universidad                                       ,Universidad Católica de Salta,Facultad de Ingeniería e Informática,"Computación, Sistemas e Informática",Analista de Sistemas,Privada                                           ,Pregrado            ,,,,,,,,,,2,2,,
2010,Universidad                                       ,Universidad Católica de Santiago del Estero,Facultad de Matemática Aplicada,"Computación, Sistemas e Informática",Analista de Sistemas,Privada                                           ,Pregrado            ,,,,,,,,,,10,8,2,
2010,Universidad                                       ,Universidad Nacional de Luján,Rectorado,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Pregrado            ,,,,,,,,,,2,1,1,
2010,Universidad                                       ,Universidad Nacional de la Patagonia Austral,UNIDAD ACADEMICA CALETA OLIVIA,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Pregrado            ,101,70,31,26,17,9,75,53,22,,,,
2010,Universidad                                       ,Universidad Nacional de la Patagonia Austral,UNIDAD ACADEMICA RIO GALLEGOS,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Pregrado            ,127,83,44,40,29,11,87,54,33,1,1,,
2010,Universidad                                       ,Universidad Nacional de la Patagonia Austral,UNIDAD ACADEMICA RIO TURBIO,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Pregrado            ,46,31,15,23,16,7,23,15,8,,,,
2010,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Rosario,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Grado               ,6,5,1,,,,6,5,1,2,1,1,
2010,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Tucumán,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Grado               ,9,7,2,,,,9,7,2,3,3,,
2010,Universidad                                       ,Universidad de Mendoza,Facultad de Ingeniería,"Computación, Sistemas e Informática",Analista de Sistemas,Privada                                           ,Pregrado            ,2,2,,,,,2,2,,,,,
2010,Universidad                                       ,Universidad de Morón,"Facultad de Informática, Ciencias de la Comunicación y Técnicas Especiales","Computación, Sistemas e Informática",Analista de Sistemas,Privada                                           ,Pregrado            ,,,,,,,,,,11,5,6,
2010,Instituto Universitario                           ,Instituto Universitario Aeronáutico,Facultad de Ciencias de la Administración,"Computación, Sistemas e Informática",Analista de Sistemas - MD,Estatal                                           ,Pregrado            ,,,,,,,,,,23,20,3,
2010,Instituto Universitario                           ,Instituto Universitario Aeronáutico,Facultad de Ingeniería,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Pregrado            ,,,,,,,,,,24,21,3,
2011,Universidad                                       ,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Ciencias Económicas San Francisco,"Computación, Sistemas e Informática",Analista de Sistemas,Privada                                           ,Pregrado            ,,,,,,,,,,6,5,1,
2011,Universidad                                       ,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Química e Ingeniería Fray Rogelio Bacon,"Computación, Sistemas e Informática",Analista de Sistemas,Privada                                           ,Pregrado            ,,,,,,,,,,8,4,4,
2011,Universidad                                       ,Universidad Argentina John F. Kennedy,Escuela de Sistemas,"Computación, Sistemas e Informática",Analista de Sistemas,Privada                                           ,Pregrado            ,,,,,,,,,,27,20,7,
2011,Universidad                                       ,Universidad Atlántida Argentina,ANEXO MAR DEL PLATA,"Computación, Sistemas e Informática",Analista de Sistemas,Privada                                           ,Pregrado            ,,,,,,,,,,1,,1,
2011,Universidad                                       ,Universidad Atlántida Argentina,UNIVERSIDAD ATLANTIDA ARGENTINA SEDE CENTRAL,"Computación, Sistemas e Informática",Analista de Sistemas,Privada                                           ,Pregrado            ,,,,,,,,,,19,17,2,
2011,Universidad                                       ,Universidad Autónoma de Entre Ríos,Facultad de Ciencia y Tecnología,"Computación, Sistemas e Informática",Analista de Sistemas,Estatal                                           ,Pregrado            ,402,336,66,244,208,36,158,128,30,40,25,15,
2011,Universidad                                       ,Universidad Blas Pascal,Vicerrectorado de Asuntos Académicos,Ingeniería en Sistemas,Analista de Sistemas Informáticos,Privada                                           ,Pregrado            ,,,,,,,,,,2,,2,
