Año,Tipo de Institución,Institución,Unidad Académica,Carrera,Título,Gestión,Nivel de la Oferta,Total de Estudiantes,Estudiantes Varones,Estudiantes Mujeres,Total de Nuevos Inscriptos,Nuevos Inscriptos Varones,Nuevas Inscriptas Mujeres,Total de Reinscriptos,Reinscriptos Varones,Reinscriptos Mujeres,Total de Egresados,Egresados Varones,Egresados Mujeres,
2014,Universidad                                       ,Universidad Nacional de La Rioja,Sede La Rioja,Ingeniería en Sistemas,Ingeniería en Sistemas de Información,Estatal                                           ,Grado               ,255,221,34,86,76,10,169,145,24,,,,
2014,Universidad                                       ,Universidad Nacional del Chaco Austral,Rectorado,Ingeniería en Sistemas,Ingeniería en Sistemas de Información,Estatal                                           ,Grado               ,244,203,41,92,80,12,152,123,29,,,,
2014,Universidad                                       ,Universidad Nacional del Sur,Departamento de Ciencias e Ingeniería de la Computación,Ingeniería en Sistemas,Ingeniería en Sistemas de Computación,Estatal                                           ,Grado               ,276,241,35,,,,276,241,35,22,18,4,
2014,Universidad                                       ,Universidad Nacional del Sur,Departamento de Ciencias e Ingeniería de la Computación,Ingeniería en Sistemas,Ingeniería en Sistemas de Información,Estatal                                           ,Grado               ,208,175,33,118,104,14,90,71,19,,,,
2014,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Buenos Aires,Ingeniería en Sistemas,Ingeniería en Sistemas de Información,Estatal                                           ,Grado               ,"4,838","4,158",680,746,638,108,"4,092","3,520",572,148,134,14,
2014,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Concepción del Uruguay,Ingeniería en Sistemas,Ingeniería en Sistemas de Información,Estatal                                           ,Grado               ,294,252,42,43,34,9,251,218,33,22,20,2,
2014,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Córdoba,Ingeniería en Sistemas,Ingeniería en Sistemas de Información,Estatal                                           ,Grado               ,"2,899","2,335",564,504,446,58,"2,395","1,889",506,92,67,25,
2014,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Delta,Ingeniería en Sistemas,Ingeniería en Sistemas de Información,Estatal                                           ,Grado               ,237,203,34,33,30,3,204,173,31,9,7,2,
2014,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional La Plata,Ingeniería en Sistemas,Ingeniería en Sistemas de Información,Estatal                                           ,Grado               ,"1,003",856,147,164,143,21,839,713,126,29,24,5,
2014,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Mendoza,Ingeniería en Sistemas,Ingeniería en Sistemas de Información,Estatal                                           ,Grado               ,781,660,121,134,112,22,647,548,99,49,39,10,
2014,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Resistencia,Ingeniería en Sistemas,Ingeniería en Sistemas de Información,Estatal                                           ,Grado               ,885,701,184,153,120,33,732,581,151,21,14,7,
2014,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Rosario,Ingeniería en Sistemas,Ingeniería en Sistemas de Información,Estatal                                           ,Grado               ,"1,947","1,659",288,324,302,22,"1,623","1,357",266,111,83,28,
2014,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional San Francisco,Ingeniería en Sistemas,Ingeniería en Sistemas de Información,Estatal                                           ,Grado               ,155,119,36,29,23,6,126,96,30,4,2,2,
2014,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Santa Fé,Ingeniería en Sistemas,Ingeniería en Sistemas de Información,Estatal                                           ,Grado               ,794,652,142,99,81,18,695,571,124,73,60,13,
2014,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Trenque Lauquen,Ingeniería en Sistemas,Ingeniería en Sistemas de Información,Estatal                                           ,Grado               ,50,45,5,16,14,2,34,31,3,,,,
2014,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Tucumán,Ingeniería en Sistemas,Ingeniería en Sistemas de Información,Estatal                                           ,Grado               ,"1,739","1,271",468,208,164,44,"1,531","1,107",424,35,24,11,
2014,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Villa María,Ingeniería en Sistemas,Ingeniería en Sistemas de Información,Estatal                                           ,Grado               ,281,237,44,64,57,7,217,180,37,25,23,2,
2014,Universidad                                       ,Universidad del Centro Educativo Latinoamericano,Facultad de Química,Ingeniería en Sistemas,Ingeniería en Sistemas de Información,Privada                                           ,Grado               ,112,88,24,32,28,4,80,60,20,2,2,,
2015,Universidad                                       ,Universidad Abierta Interamericana,Facultad de Tecnología Informática,Ingeniería en Sistemas,Ingeniería en Sistemas Informáticos,Privada                                           ,Grado               ,"1,397","1,224",173,236,203,33,"1,161","1,021",140,91,79,12,
2015,Universidad                                       ,Universidad Abierta Interamericana,Facultad de Tecnología Informática - Rosario,Ingeniería en Sistemas,Ingeniería en Sistemas Informáticos,Privada                                           ,Grado               ,286,255,31,37,34,3,249,221,28,39,32,7,
2015,Universidad                                       ,Universidad Católica de La Plata,Facultad de Ciencias Exáctas y Tecnología,Ingeniería en Sistemas,Ingeniería en Sistemas de Información,Privada                                           ,Grado               ,80,70,10,4,4,,76,66,10,10,9,1,
2015,Universidad                                       ,Universidad Empresarial Siglo 21,Grado,Ingeniería en Sistemas,Ingeniería en Sistemas de Información,Privada                                           ,Grado               ,29,27,2,,,,29,27,2,5,4,1,
2015,Universidad                                       ,Universidad Maimónides,Escuela de Comunicación Multimedial,Ingeniería en Sistemas,Ingeniería en Sistemas de Información,Privada                                           ,Grado               ,23,18,5,,,,23,18,5,11,8,3,
2015,Universidad                                       ,Universidad Nacional de La Rioja,Sede La Rioja,Ingeniería en Sistemas,Ingeniería en Sistemas de Información,Estatal                                           ,Grado               ,312,267,45,93,77,16,219,190,29,,,,
2015,Universidad                                       ,Universidad Nacional del Chaco Austral,Rectorado,Ingeniería en Sistemas,Ingeniería en Sistemas de Información,Estatal                                           ,Grado               ,210,180,30,65,58,7,145,122,23,,,,
2015,Universidad                                       ,Universidad Nacional del Sur,Departamento de Ciencias e Ingeniería de la Computación,Ingeniería en Sistemas,Ingeniería en Sistemas de Computación,Estatal                                           ,Grado               ,199,177,22,,,,199,177,22,17,14,3,
2015,Universidad                                       ,Universidad Nacional del Sur,Departamento de Ciencias e Ingeniería de la Computación,Ingeniería en Sistemas,Ingeniería en Sistemas de Información,Estatal                                           ,Grado               ,277,230,47,127,104,23,150,126,24,,,,
2015,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Buenos Aires,Ingeniería en Sistemas,Ingeniería en Sistemas de Información,Estatal                                           ,Grado               ,"5,235","4,498",737,774,673,101,"4,461","3,825",636,256,205,51,
2015,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Concepción del Uruguay,Ingeniería en Sistemas,Ingeniería en Sistemas de Información,Estatal                                           ,Grado               ,290,253,37,53,51,2,237,202,35,30,26,4,
2015,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Córdoba,Ingeniería en Sistemas,Ingeniería en Sistemas de Información,Estatal                                           ,Grado               ,"2,983","2,415",568,596,500,96,"2,387","1,915",472,71,54,17,
2015,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Delta,Ingeniería en Sistemas,Ingeniería en Sistemas de Información,Estatal                                           ,Grado               ,231,195,36,30,28,2,201,167,34,16,16,,
2015,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional La Plata,Ingeniería en Sistemas,Ingeniería en Sistemas de Información,Estatal                                           ,Grado               ,902,769,133,130,109,21,772,660,112,55,48,7,
2015,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Mendoza,Ingeniería en Sistemas,Ingeniería en Sistemas de Información,Estatal                                           ,Grado               ,805,697,108,145,134,11,660,563,97,43,37,6,
2015,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Resistencia,Ingeniería en Sistemas,Ingeniería en Sistemas de Información,Estatal                                           ,Grado               ,891,724,167,149,132,17,742,592,150,17,16,1,
2015,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Rosario,Ingeniería en Sistemas,Ingeniería en Sistemas de Información,Estatal                                           ,Grado               ,"1,927","1,589",338,369,333,36,"1,558","1,256",302,81,62,19,
2015,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional San Francisco,Ingeniería en Sistemas,Ingeniería en Sistemas de Información,Estatal                                           ,Grado               ,167,132,35,35,27,8,132,105,27,10,7,3,
2015,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Santa Fé,Ingeniería en Sistemas,Ingeniería en Sistemas de Información,Estatal                                           ,Grado               ,774,646,128,115,104,11,659,542,117,28,24,4,
2015,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Trenque Lauquen,Ingeniería en Sistemas,Ingeniería en Sistemas de Información,Estatal                                           ,Grado               ,47,42,5,11,9,2,36,33,3,,,,
2015,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Tucumán,Ingeniería en Sistemas,Ingeniería en Sistemas de Información,Estatal                                           ,Grado               ,"1,661","1,210",451,194,148,46,"1,467","1,062",405,10,2,8,
2015,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Villa María,Ingeniería en Sistemas,Ingeniería en Sistemas de Información,Estatal                                           ,Grado               ,268,219,49,57,51,6,211,168,43,18,14,4,
2015,Universidad                                       ,Universidad del Centro Educativo Latinoamericano,Facultad de Química,Ingeniería en Sistemas,Ingeniería en Sistemas de Información,Privada                                           ,Grado               ,123,94,29,31,27,4,92,67,25,4,1,3,
2010,Universidad                                       ,Universidad CAECE,Departamento de Sistemas,Ingeniería en Sistemas,Ingeniería en Sistemas,Privada                                           ,Grado               ,201,178,23,52,46,6,149,132,17,23,17,6,
2010,Universidad                                       ,Universidad CAECE,Departamento de Sistemas - Sede Mar del Plata,Ingeniería en Sistemas,Ingeniería en Sistemas,Privada                                           ,Grado               ,94,85,9,20,16,4,74,69,5,1,1,,
2010,Universidad                                       ,Universidad Nacional de Chilecito,Escuela de Tecnología de la Información y las Comunicaciones,Ingeniería en Sistemas,Ingeniería en Sistemas,Estatal                                           ,Grado               ,184,138,46,48,36,12,136,102,34,1,1,,
2010,Universidad                                       ,Universidad Nacional de La Pampa,Facultad de Ingeniería,Ingeniería en Sistemas,Ingeniería en Sistemas,Estatal                                           ,Grado               ,160,127,33,50,42,8,110,85,25,2,1,1,
2010,Universidad                                       ,Universidad Nacional de La Rioja,Sede Chamical,Ingeniería en Sistemas,Ingeniería en Sistemas,Estatal                                           ,Grado               ,6,5,1,,,,6,5,1,,,,
2010,Universidad                                       ,Universidad Nacional de La Rioja,Sede La Rioja,Ingeniería en Sistemas,Ingeniería en Sistemas,Estatal                                           ,Grado               ,478,395,83,65,52,13,413,343,70,11,10,1,
2010,Universidad                                       ,Universidad Nacional de la Patagonia Austral,UNIDAD ACADEMICA CALETA OLIVIA,Ingeniería en Sistemas,Ingeniería en Sistemas,Estatal                                           ,Grado               ,61,45,16,15,11,4,46,34,12,,,,
2010,Universidad                                       ,Universidad Nacional del Chaco Austral,Rectorado,Ingeniería en Sistemas,Ingeniería en Sistemas,Estatal                                           ,Grado               ,229,191,38,138,117,21,91,74,17,,,,
2010,Universidad                                       ,Universidad de la Marina Mercante,Facultad de Ingeniería,Ingeniería en Sistemas,Ingeniería en Sistemas,Privada                                           ,Grado               ,186,164,22,63,54,9,123,110,13,5,5,,
2011,Universidad                                       ,Universidad CAECE,Departamento de Sistemas,Ingeniería en Sistemas,Ingeniería en Sistemas,Privada                                           ,Grado               ,181,166,15,37,36,1,144,130,14,13,13,,
2011,Universidad                                       ,Universidad CAECE,Departamento de Sistemas - Sede Mar del Plata,Ingeniería en Sistemas,Ingeniería en Sistemas,Privada                                           ,Grado               ,96,84,12,8,8,,88,76,12,,,,
2011,Universidad                                       ,Universidad Nacional de Chilecito,Escuela de Tecnología de la Información y las Comunicaciones,Ingeniería en Sistemas,Ingeniería en Sistemas,Estatal                                           ,Grado               ,259,190,69,51,34,17,208,156,52,,,,
2011,Universidad                                       ,Universidad Nacional de La Pampa,Facultad de Ingeniería,Ingeniería en Sistemas,Ingeniería en Sistemas,Estatal                                           ,Grado               ,167,132,35,49,41,8,118,91,27,4,3,1,
2011,Universidad                                       ,Universidad Nacional de La Rioja,Sede La Rioja,Ingeniería en Sistemas,Ingeniería en Sistemas,Estatal                                           ,Grado               ,463,401,62,,,,463,401,62,13,12,1,
2011,Universidad                                       ,Universidad Nacional de la Patagonia Austral,UNIDAD ACADEMICA CALETA OLIVIA,Ingeniería en Sistemas,Ingeniería en Sistemas,Estatal                                           ,Grado               ,65,46,19,17,11,6,48,35,13,4,1,3,
2011,Universidad                                       ,Universidad de la Marina Mercante,Facultad de Ingeniería,Ingeniería en Sistemas,Ingeniería en Sistemas,Privada                                           ,Grado               ,166,145,21,40,30,10,126,115,11,,,,
2012,Universidad                                       ,Universidad CAECE,Departamento de Sistemas,Ingeniería en Sistemas,Ingeniería en Sistemas,Privada                                           ,Grado               ,207,189,18,52,46,6,155,143,12,17,16,1,
2012,Universidad                                       ,Universidad CAECE,Departamento de Sistemas - Sede Mar del Plata,Ingeniería en Sistemas,Ingeniería en Sistemas,Privada                                           ,Grado               ,119,103,16,23,19,4,96,84,12,,,,
2012,Universidad                                       ,Universidad Nacional de Chilecito,Escuela de Tecnología de la Información y las Comunicaciones,Ingeniería en Sistemas,Ingeniería en Sistemas,Estatal                                           ,Grado               ,292,216,76,42,35,7,250,181,69,,,,
2012,Universidad                                       ,Universidad Nacional de La Pampa,Facultad de Ingeniería,Ingeniería en Sistemas,Ingeniería en Sistemas,Estatal                                           ,Grado               ,162,128,34,48,39,9,114,89,25,6,5,1,
2012,Universidad                                       ,Universidad Nacional de La Rioja,Sede La Rioja,Ingeniería en Sistemas,Ingeniería en Sistemas,Estatal                                           ,Grado               ,458,398,60,,,,458,398,60,17,11,6,
2012,Universidad                                       ,Universidad Nacional de la Patagonia Austral,UNIDAD ACADEMICA CALETA OLIVIA,Ingeniería en Sistemas,Ingeniería en Sistemas,Estatal                                           ,Grado               ,59,46,13,21,16,5,38,30,8,,,,
2012,Universidad                                       ,Universidad de la Marina Mercante,Facultad de Ingeniería,Ingeniería en Sistemas,Ingeniería en Sistemas,Privada                                           ,Grado               ,164,141,23,53,45,8,111,96,15,9,9,,
2013,Universidad                                       ,Universidad CAECE,Departamento de Sistemas,Ingeniería en Sistemas,Ingeniería en Sistemas,Privada                                           ,Grado               ,194,177,17,18,13,5,176,164,12,12,8,4,
2013,Universidad                                       ,Universidad CAECE,Departamento de Sistemas - Sede Mar del Plata,Ingeniería en Sistemas,Ingeniería en Sistemas,Privada                                           ,Grado               ,96,85,11,15,13,2,81,72,9,2,2,,
2013,Universidad                                       ,Universidad Nacional de Chilecito,Escuela de Tecnología de la Información y las Comunicaciones,Ingeniería en Sistemas,Ingeniería en Sistemas,Estatal                                           ,Grado               ,150,115,35,31,26,5,119,89,30,3,2,1,
2013,Universidad                                       ,Universidad Nacional de La Pampa,Facultad de Ingeniería,Ingeniería en Sistemas,Ingeniería en Sistemas,Estatal                                           ,Grado               ,148,112,36,31,24,7,117,88,29,5,5,,
2013,Universidad                                       ,Universidad Nacional de La Rioja,Sede La Rioja,Ingeniería en Sistemas,Ingeniería en Sistemas,Estatal                                           ,Grado               ,109,90,19,,,,109,90,19,13,9,4,
2013,Universidad                                       ,Universidad Nacional de la Patagonia Austral,UNIDAD ACADEMICA CALETA OLIVIA,Ingeniería en Sistemas,Ingeniería en Sistemas,Estatal                                           ,Grado               ,51,38,13,10,7,3,41,31,10,,,,
2013,Universidad                                       ,Universidad de la Marina Mercante,Facultad de Ingeniería,Ingeniería en Sistemas,Ingeniería en Sistemas,Privada                                           ,Grado               ,156,132,24,37,32,5,119,100,19,4,4,,
2014,Universidad                                       ,Universidad CAECE,Departamento de Sistemas,Ingeniería en Sistemas,Ingeniería en Sistemas,Privada                                           ,Grado               ,119,112,7,22,19,3,97,93,4,30,30,,
2014,Universidad                                       ,Universidad CAECE,Departamento de Sistemas - Sede Mar del Plata,Ingeniería en Sistemas,Ingeniería en Sistemas,Privada                                           ,Grado               ,91,79,12,19,17,2,72,62,10,8,8,,
2014,Universidad                                       ,Universidad Nacional de Chilecito,Escuela de Tecnología de la Información y las Comunicaciones,Ingeniería en Sistemas,Ingeniería en Sistemas,Estatal                                           ,Grado               ,160,122,38,30,22,8,130,100,30,1,,1,
2014,Universidad                                       ,Universidad Nacional de La Pampa,Facultad de Ingeniería,Ingeniería en Sistemas,Ingeniería en Sistemas,Estatal                                           ,Grado               ,173,134,39,51,45,6,122,89,33,7,5,2,
2014,Universidad                                       ,Universidad Nacional de La Rioja,Sede La Rioja,Ingeniería en Sistemas,Ingeniería en Sistemas,Estatal                                           ,Grado               ,75,63,12,,,,75,63,12,14,13,1,
2014,Universidad                                       ,Universidad Nacional de la Patagonia Austral,UNIDAD ACADEMICA CALETA OLIVIA,Ingeniería en Sistemas,Ingeniería en Sistemas,Estatal                                           ,Grado               ,65,48,17,25,17,8,40,31,9,,,,
2014,Universidad                                       ,Universidad de la Marina Mercante,Facultad de Ingeniería,Ingeniería en Sistemas,Ingeniería en Sistemas,Privada                                           ,Grado               ,150,130,20,35,30,5,115,100,15,1,1,,
2015,Universidad                                       ,Universidad CAECE,Departamento de Sistemas,Ingeniería en Sistemas,Ingeniería en Sistemas,Privada                                           ,Grado               ,119,112,7,22,19,3,97,93,4,30,30,,
2015,Universidad                                       ,Universidad CAECE,Departamento de Sistemas - Sede Mar del Plata,Ingeniería en Sistemas,Ingeniería en Sistemas,Privada                                           ,Grado               ,91,79,12,19,17,2,72,62,10,8,8,,
2015,Universidad                                       ,Universidad Nacional de Chilecito,Escuela de Tecnología de la Información y las Comunicaciones,Ingeniería en Sistemas,Ingeniería en Sistemas,Estatal                                           ,Grado               ,153,117,36,20,13,7,133,104,29,4,4,,
2015,Universidad                                       ,Universidad Nacional de La Pampa,Facultad de Ingeniería,Ingeniería en Sistemas,Ingeniería en Sistemas,Estatal                                           ,Grado               ,165,131,34,32,32,,133,99,34,8,6,2,
2015,Universidad                                       ,Universidad Nacional de La Rioja,Sede La Rioja,Ingeniería en Sistemas,Ingeniería en Sistemas,Estatal                                           ,Grado               ,58,48,10,,,,58,48,10,27,24,3,
2015,Universidad                                       ,Universidad Nacional de la Patagonia Austral,UNIDAD ACADEMICA CALETA OLIVIA,Ingeniería en Sistemas,Ingeniería en Sistemas,Estatal                                           ,Grado               ,59,41,18,17,10,7,42,31,11,,,,
2015,Universidad                                       ,Universidad de la Marina Mercante,Facultad de Ingeniería,Ingeniería en Sistemas,Ingeniería en Sistemas,Privada                                           ,Grado               ,130,114,16,26,23,3,104,91,13,4,3,1,
2010,Universidad                                       ,Universidad Nacional de Salta,Facultad de Ciencias Exactas,"Computación, Sistemas e Informática",Computador Universitario,Estatal                                           ,Pregrado            ,,,,,,,,,,27,21,6,
2010,Universidad                                       ,Universidad Nacional de Salta,Sede Regional Orán,"Computación, Sistemas e Informática",Computador Universitario,Estatal                                           ,Pregrado            ,,,,,,,,,,8,6,2,
2011,Universidad                                       ,Universidad Nacional de Salta,Facultad de Ciencias Exactas,"Computación, Sistemas e Informática",Computador Universitario,Estatal                                           ,Pregrado            ,,,,,,,,,,36,26,10,
2011,Universidad                                       ,Universidad Nacional de Salta,Sede Regional Orán,"Computación, Sistemas e Informática",Computador Universitario,Estatal                                           ,Pregrado            ,,,,,,,,,,1,1,,
2012,Universidad                                       ,Universidad Nacional de Salta,Facultad de Ciencias Exactas,"Computación, Sistemas e Informática",Computador Universitario,Estatal                                           ,Pregrado            ,,,,,,,,,,24,12,12,
2013,Universidad                                       ,Universidad Nacional de Salta,Facultad de Ciencias Exactas,"Computación, Sistemas e Informática",Computador Universitario,Estatal                                           ,Pregrado            ,,,,,,,,,,37,19,18,
2014,Universidad                                       ,Universidad Nacional de Salta,Facultad de Ciencias Exactas,"Computación, Sistemas e Informática",Computador Universitario,Estatal                                           ,Pregrado            ,,,,,,,,,,45,32,13,
2014,Universidad                                       ,Universidad Nacional de Salta,Sede Regional Orán,"Computación, Sistemas e Informática",Computador Universitario,Estatal                                           ,Pregrado            ,,,,,,,,,,1,1,,
2010,Universidad                                       ,Universidad Católica de La Plata,Facultad de Matemática Aplicada,"Computación, Sistemas e Informática",Licenciatura en Análisis de Sistemas,Privada                                           ,Grado               ,4,3,1,,,,4,3,1,2,2,,
2010,Universidad                                       ,Universidad Nacional de Salta,Facultad de Ciencias Exactas,"Computación, Sistemas e Informática",Licenciatura en Análisis de Sistemas,Estatal                                           ,Grado               ,"1,041",767,274,244,194,50,797,573,224,14,10,4,
2010,Universidad                                       ,Universidad Nacional de Salta,Sede Regional Orán,"Computación, Sistemas e Informática",Licenciatura en Análisis de Sistemas,Estatal                                           ,Grado               ,140,89,51,28,17,11,112,72,40,,,,
2010,Universidad                                       ,Universidad de Buenos Aires,Facultad de Ingeniería,"Computación, Sistemas e Informática",Licenciatura en Análisis de Sistemas,Estatal                                           ,Grado               ,"1,703",,,499,,,"1,204",,,58,,,
2011,Universidad                                       ,Universidad Católica de La Plata,Facultad de Matemática Aplicada,"Computación, Sistemas e Informática",Licenciatura en Análisis de Sistemas,Privada                                           ,Grado               ,1,,1,,,,1,,1,,,,
2011,Universidad                                       ,Universidad Nacional de Salta,Facultad de Ciencias Exactas,"Computación, Sistemas e Informática",Licenciatura en Análisis de Sistemas,Estatal                                           ,Grado               ,"1,065",764,301,200,143,57,865,621,244,26,20,6,
2011,Universidad                                       ,Universidad Nacional de Salta,Sede Regional Orán,"Computación, Sistemas e Informática",Licenciatura en Análisis de Sistemas,Estatal                                           ,Grado               ,129,83,46,25,17,8,104,66,38,,,,
2011,Universidad                                       ,Universidad de Buenos Aires,Facultad de Ingeniería,"Computación, Sistemas e Informática",Licenciatura en Análisis de Sistemas,Estatal                                           ,Grado               ,"2,284","1,783",501,482,386,96,"1,802","1,397",405,43,35,8,
2012,Universidad                                       ,Universidad Católica de La Plata,Facultad de Matemática Aplicada,"Computación, Sistemas e Informática",Licenciatura en Análisis de Sistemas,Privada                                           ,Grado               ,1,,1,,,,1,,1,,,,
2012,Universidad                                       ,Universidad Nacional de Salta,Facultad de Ciencias Exactas,"Computación, Sistemas e Informática",Licenciatura en Análisis de Sistemas,Estatal                                           ,Grado               ,"1,043",763,280,214,177,37,829,586,243,13,8,5,
2012,Universidad                                       ,Universidad Nacional de Salta,Sede Regional Orán,"Computación, Sistemas e Informática",Licenciatura en Análisis de Sistemas,Estatal                                           ,Grado               ,92,57,35,,,,92,57,35,,,,
2012,Universidad                                       ,Universidad de Buenos Aires,Facultad de Ingeniería,"Computación, Sistemas e Informática",Licenciatura en Análisis de Sistemas,Estatal                                           ,Grado               ,"2,069","1,634",435,387,302,85,"1,682","1,332",350,31,24,7,
2013,Universidad                                       ,Universidad Católica de La Plata,Facultad de Matemática Aplicada,"Computación, Sistemas e Informática",Licenciatura en Análisis de Sistemas,Privada                                           ,Grado               ,3,3,,,,,3,3,,3,3,,
2013,Universidad                                       ,Universidad Nacional de Salta,Facultad de Ciencias Exactas,"Computación, Sistemas e Informática",Licenciatura en Análisis de Sistemas,Estatal                                           ,Grado               ,972,727,245,155,135,20,817,592,225,20,14,6,
2013,Universidad                                       ,Universidad Nacional de Salta,Sede Regional Orán,"Computación, Sistemas e Informática",Licenciatura en Análisis de Sistemas,Estatal                                           ,Grado               ,75,44,31,,,,75,44,31,,,,
2013,Universidad                                       ,Universidad de Buenos Aires,Facultad de Ingeniería,"Computación, Sistemas e Informática",Licenciatura en Análisis de Sistemas,Estatal                                           ,Grado               ,"1,901","1,492",409,351,287,64,"1,550","1,205",345,30,23,7,
2014,Universidad                                       ,Universidad Católica de La Plata,Facultad de Matemática Aplicada,"Computación, Sistemas e Informática",Licenciatura en Análisis de Sistemas,Privada                                           ,Grado               ,34,29,5,,,,34,29,5,2,2,,
2014,Universidad                                       ,Universidad Nacional de Salta,Facultad de Ciencias Exactas,"Computación, Sistemas e Informática",Licenciatura en Análisis de Sistemas,Estatal                                           ,Grado               ,855,641,214,127,103,24,728,538,190,31,21,10,
2014,Universidad                                       ,Universidad Nacional de Salta,Sede Regional Orán,"Computación, Sistemas e Informática",Licenciatura en Análisis de Sistemas,Estatal                                           ,Grado               ,60,33,27,,,,60,33,27,,,,
2014,Universidad                                       ,Universidad de Buenos Aires,Facultad de Ingeniería,"Computación, Sistemas e Informática",Licenciatura en Análisis de Sistemas,Estatal                                           ,Grado               ,"1,762","1,381",381,280,212,68,"1,482","1,169",313,32,27,5,
2015,Universidad                                       ,Universidad Católica de La Plata,Facultad de Matemática Aplicada,"Computación, Sistemas e Informática",Licenciatura en Análisis de Sistemas,Privada                                           ,Grado               ,3,3,,,,,3,3,,,,,
2015,Universidad                                       ,Universidad Nacional de Salta,Facultad de Ciencias Exactas,"Computación, Sistemas e Informática",Licenciatura en Análisis de Sistemas,Estatal                                           ,Grado               ,868,658,210,172,137,35,696,521,175,3,1,2,
2015,Universidad                                       ,Universidad Nacional de Salta,Sede Regional Orán,"Computación, Sistemas e Informática",Licenciatura en Análisis de Sistemas,Estatal                                           ,Grado               ,40,25,15,,,,40,25,15,2,1,1,
2015,Universidad                                       ,Universidad de Buenos Aires,Facultad de Ingeniería,"Computación, Sistemas e Informática",Licenciatura en Análisis de Sistemas,Estatal                                           ,Grado               ,"1,482","1,177",305,281,227,54,"1,201",950,251,37,29,8,
2010,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Avellaneda,"Computación, Sistemas e Informática",Tecnicatura Superior en Programación,Estatal                                           ,Pregrado            ,"1,227","1,037",190,234,211,23,993,826,167,72,60,12,
2010,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Buenos Aires,"Computación, Sistemas e Informática",Tecnicatura Superior en Programación,Estatal                                           ,Pregrado            ,190,163,27,73,64,9,117,99,18,5,4,1,
2010,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Córdoba,"Computación, Sistemas e Informática",Tecnicatura Superior en Programación,Estatal                                           ,Pregrado            ,490,421,69,235,200,35,255,221,34,15,13,2,
2010,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional General Pacheco,"Computación, Sistemas e Informática",Tecnicatura Superior en Programación,Estatal                                           ,Pregrado            ,511,455,56,191,162,29,320,293,27,60,53,7,
2010,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Haedo,"Computación, Sistemas e Informática",Tecnicatura Superior en Programación,Estatal                                           ,Pregrado            ,259,227,32,146,124,22,113,103,10,9,9,,
2010,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Mendoza,"Computación, Sistemas e Informática",Tecnicatura Superior en Programación,Estatal                                           ,Pregrado            ,206,172,34,84,70,14,122,102,20,9,7,2,
2010,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Paraná,"Computación, Sistemas e Informática",Tecnicatura Superior en Programación,Estatal                                           ,Pregrado            ,156,138,18,77,67,10,79,71,8,9,8,1,
2010,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Rafaela,"Computación, Sistemas e Informática",Tecnicatura Superior en Programación,Estatal                                           ,Pregrado            ,40,28,12,24,18,6,16,10,6,1,,1,
2010,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Reconquista,"Computación, Sistemas e Informática",Tecnicatura Superior en Programación,Estatal                                           ,Pregrado            ,60,52,8,26,24,2,34,28,6,,,,
2010,Universidad                                       ,Universidad Tecnológica Nacional,Facultad Regional Resistencia,"Computación, Sistemas e Informática",Tecnicatura Superior en Programación,Estatal                                           ,Pregrado            ,192,163,29,56,46,10,136,117,19,2,1,1,
