,Estudiantes Mujeres,Egresados Mujeres,Año,Carrera,Reinscriptos Mujeres,Título,Egresados Varones,Unidad Académica,Total de Nuevos Inscriptos,Total de Estudiantes,Total de Egresados,Institución,Total de Reinscriptos,Estudiantes Varones,Nivel de la Oferta,Nuevos Inscriptos Varones,Reinscriptos Varones,Nuevas Inscriptas Mujeres,Gestión,Tipo de Institución
,165,2,2013,Ingeniería en Sistemas,130,Ingeniería en Informática,22,Facultad de Ingeniería y Ciencias Exactas,273,"1,476",24,Universidad Argentina de la Empresa,"1,203","1,311",Grado               ,238,"1,073",35,Privada                                           ,Universidad                                       
,2,,2013,Ingeniería en Sistemas,2,Ingeniería en Informática,1,ANEXO MAR DEL PLATA,7,13,1,Universidad Atlántida Argentina,6,11,Grado               ,7,4,,Privada                                           ,Universidad                                       
,6,1,2013,Ingeniería en Sistemas,2,Ingeniería en Informática,1,UNIVERSIDAD ATLANTIDA ARGENTINA SEDE CENTRAL,13,32,2,Universidad Atlántida Argentina,19,26,Grado               ,9,17,4,Privada                                           ,Universidad                                       
,7,6,2013,Ingeniería en Sistemas,6,Ingeniería en Informática,26,Facultad de Ingeniería,35,99,32,Universidad Austral,64,92,Grado               ,34,58,1,Privada                                           ,Universidad                                       
,26,,2013,Ingeniería en Sistemas,19,Ingeniería en Informática,7,Facultad de Ingeniería,56,299,7,Universidad Católica de Salta,243,273,Grado               ,49,224,7,Privada                                           ,Universidad                                       
,18,,2013,Ingeniería en Sistemas,13,Ingeniería en Informática,5,Departamento Académico Rafaela,30,126,5,Universidad Católica de Santiago del Estero,96,108,Grado               ,25,83,5,Privada                                           ,Universidad                                       
,23,,2013,Ingeniería en Sistemas,21,Ingeniería en Informática,2,Departamento Académico San Salvador,21,139,2,Universidad Católica de Santiago del Estero,118,116,Grado               ,19,97,2,Privada                                           ,Universidad                                       
,13,,2013,Ingeniería en Sistemas,11,Ingeniería en Informática,2,Facultad de Matemática Aplicada,22,125,2,Universidad Católica de Santiago del Estero,103,112,Grado               ,20,92,2,Privada                                           ,Universidad                                       
,25,,2013,Ingeniería en Sistemas,20,Ingeniería en Informática,2,Departamento de Ingeniería y Ciencias de la Producción,60,284,2,Universidad Gastón Dachary,224,259,Grado               ,55,204,5,Privada                                           ,Universidad                                       
,1,,2013,Ingeniería en Sistemas,1,Ingeniería en Informática,,Departamento de Ingeniería y Ciencias de la Producción Oberá,,2,,Universidad Gastón Dachary,2,1,Grado               ,,1,,Privada                                           ,Universidad                                       
,65,,2013,Ingeniería en Sistemas,49,Ingeniería en Informática,,Departamento de Produccion y Trabajo,71,412,,Universidad Nacional de Avellaneda,341,347,Grado               ,55,292,16,Estatal                                           ,Universidad                                       
,35,,2013,Ingeniería en Sistemas,30,Ingeniería en Informática,2,Facultad de Tecnología y Ciencias Aplicadas,50,226,2,Universidad Nacional de Catamarca,176,191,Grado               ,45,146,5,Estatal                                           ,Universidad                                       
,223,5,2013,Ingeniería en Sistemas,189,Ingeniería en Informática,11,Facultad de Ingeniería,203,961,16,Universidad Nacional de Jujuy,758,738,Grado               ,169,569,34,Estatal                                           ,Universidad                                       
,470,14,2013,Ingeniería en Sistemas,411,Ingeniería en Informática,59,Departamento de Ingeniería e Investigaciones Tecnológicas,385,"3,064",73,Universidad Nacional de La Matanza,"2,679","2,594",Grado               ,326,"2,268",59,Estatal                                           ,Universidad                                       
,10,,2013,Ingeniería en Sistemas,5,Ingeniería en Informática,,Facultad de Cs. Físico-Matemáticas y Naturales,36,71,,Universidad Nacional de San Luis,35,61,Grado               ,31,30,5,Estatal                                           ,Universidad                                       
,102,2,2013,Ingeniería en Sistemas,81,Ingeniería en Informática,10,Facultad de Ingeniería y Ciencias Hídricas,162,890,12,Universidad Nacional del Litoral,728,788,Grado               ,141,647,21,Estatal                                           ,Universidad                                       
,20,,2013,Ingeniería en Sistemas,16,Ingeniería en Informática,4,Escuela de Tecnología,44,210,4,Universidad Nacional del Noroeste de la Provincia de Buenos Aires,166,190,Grado               ,40,150,4,Estatal                                           ,Universidad                                       
,,,2013,Ingeniería en Sistemas,,Ingeniería en Informática,,Escuela de Tecnología - Sede Pergamino,,3,,Universidad Nacional del Noroeste de la Provincia de Buenos Aires,3,3,Grado               ,,3,,Estatal                                           ,Universidad                                       
,54,10,2013,Ingeniería en Sistemas,48,Ingeniería en Informática,21,Facultad de Tecnología Informática,31,320,31,Universidad de Belgrano,289,266,Grado               ,25,241,6,Privada                                           ,Universidad                                       
,541,9,2013,Ingeniería en Sistemas,428,Ingeniería en Informática,47,Facultad de Ingeniería,751,"3,640",56,Universidad de Buenos Aires,"2,889","3,099",Grado               ,638,"2,461",113,Estatal                                           ,Universidad                                       
,16,1,2013,Ingeniería en Sistemas,14,Ingeniería en Informática,4,Facultad de Ingeniería,19,113,5,Universidad de Mendoza,94,97,Grado               ,17,80,2,Privada                                           ,Universidad                                       
,12,1,2013,Ingeniería en Sistemas,11,Ingeniería en Informática,4,Subsede San Rafael,20,90,5,Universidad de Mendoza,70,78,Grado               ,19,59,1,Privada                                           ,Universidad                                       
,28,3,2013,Ingeniería en Sistemas,24,Ingeniería en Informática,6,"Facultad de Informática, Ciencias de la Comunicación y Técnicas Especiales",33,206,9,Universidad de Morón,173,178,Grado               ,29,149,4,Privada                                           ,Universidad                                       
,34,2,2013,Ingeniería en Sistemas,26,Ingeniería en Informática,10,Facultad de Ingeniería,81,365,12,Universidad de Palermo,284,331,Grado               ,73,258,8,Privada                                           ,Universidad                                       
,6,2,2013,Ingeniería en Sistemas,5,Ingeniería en Informática,13,Facultad de Ingeniería,14,149,15,Universidad de la Fraternidad de Agrupaciones Santo Tomás de Aquino,135,143,Grado               ,13,130,1,Privada                                           ,Universidad                                       
,13,2,2013,Ingeniería en Sistemas,8,Ingeniería en Informática,9,Secretaria Académica,16,83,11,Universidad del CEMA,67,70,Grado               ,11,59,5,Privada                                           ,Universidad                                       
,12,,2013,Ingeniería en Sistemas,8,Ingeniería en Informática,5,Facultad de Ingeniería,22,84,5,Universidad del Norte Santo Tomás de Aquino,62,72,Grado               ,18,54,4,Privada                                           ,Universidad                                       
